Source,County,Total Emissions (MT CO2e),Fossil CO2 (MT CO2),Methane (MT CO2e),Nitrous Oxide (MT CO2e),"Location (Latitude, Longitude) "
The Boeing Company - Auburn,King,36058,36021,17,20,"(47.285551, -122.242298)"
The Boeing Company - Renton,King,17191,17174,8,10,"(47.498257, -122.211346)"
The Boeing Company: Boeing Plant 2 - Seattle,King,21499,21477,10,12,"(47.532524, -122.311623)"
The Boeing Company: DC/MFC - Seattle,King,15614,15598,7,9,"(47.516246, -122.298613)"
TransAlta Centralia Generation LLC - Centralia,Lewis,5665101,5619677,16615,28808,"(46.7559, -122.8578)"
"Tyson Fresh Meats, Inc. - Wallula",Walla Walla,74580,20808,53760,12,"(46.137521, -118.913051)"
U.S. Department of Energy Hanford Site - Richland,Benton,15494,5571,9912,10,"(46.55069, -119.489007)"
U.S. Oil & Refining Co. - Tacoma,Pierce,128434,127452,952,30,"(47.256813, -122.394952)"
University of Washington Seattle Campus - Seattle,King,82430,82345,39,46,"(47.653614, -122.303608)"
US Army Joint Base Lewis-McChord - Pierce Co.,Pierce,78742,56073,22633,35,"(47.1142, -122.5365)"
"Vaagen Bros. Lumber, Inc. - Colville",Stevens,44422,0,84,501,"(48.548525, -117.915469)"
Vertellus Performance Chemicals LLC - Elma,Grays Harbor,17600,17582,8,10,"(46.995459, -123.382316)"
WaferTech LLC - Camas,Clark,172725,13050,6,7177,"(45.619569, -122.454955)"
Washington State University - Pullman,Whitman,57370,57309,28,34,"(46.728702, -117.151481)"
Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,Douglas,31208,0,31208,0,"(47.405083, -120.167444)"
Weyerhaeuser Raymond Lumber - Raymond,Pacific,46229,0,86,511,"(46.688088, -123.737495)"
